Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,dropout,student_id
14,89,Low,High,0,6,59,Low,1,2,Low,High,Public,Neutral,5,0,Postgraduate,Moderate,Male,66,1,236
21,74,Medium,High,1,6,61,Low,0,0,Low,Medium,Private,Positive,4,0,High School,Near,Male,65,1,237
17,65,Low,Low,1,5,55,Medium,1,2,Low,Medium,Public,Positive,3,0,High School,Near,Female,61,1,238
16,80,High,High,1,9,62,Low,1,0,High,Medium,Public,Neutral,4,0,Postgraduate,Near,Female,68,1,239
16,74,Low,Medium,1,9,86,Low,1,1,Low,Medium,Private,Neutral,2,0,High School,Near,Female,63,1,240
12,70,Medium,High,0,5,53,Medium,1,2,Low,Medium,Private,Positive,3,0,College,Near,Male,63,1,241
13,61,High,Low,0,7,68,Low,0,1,Medium,Medium,Public,Neutral,2,0,High School,Near,Male,58,1,242
25,62,Medium,Medium,0,10,84,Low,1,2,Low,Medium,Public,Positive,3,0,College,Near,Female,65,1,243
15,68,Low,Medium,1,6,94,Low,1,0,Medium,High,Public,Neutral,5,0,Postgraduate,Near,Female,64,1,244
13,88,High,Medium,0,4,66,Low,1,1,Low,High,Public,Positive,4,0,High School,Near,Female,67,1,245
12,63,Medium,High,0,5,63,Low,1,4,Low,Medium,Private,Positive,2,0,High School,Moderate,Male,61,1,246
19,88,Medium,High,1,8,57,Low,0,1,Medium,Low,Private,Negative,4,0,College,Near,Male,66,1,247
17,64,Medium,Medium,0,9,50,Medium,1,2,Low,High,Public,Positive,4,0,High School,Moderate,Female,62,1,248
13,68,Low,Low,1,8,66,Medium,1,0,Medium,Low,Public,Neutral,4,1,College,Near,Male,59,1,249
15,61,Medium,High,1,6,54,Medium,1,0,High,High,Private,Neutral,2,0,Postgraduate,Near,Male,63,1,250
14,69,Medium,High,1,6,93,Low,0,2,Low,Medium,Private,Neutral,0,0,High School,Near,Male,63,1,251
7,73,High,Medium,1,6,75,Medium,1,3,Low,Medium,Public,Neutral,3,0,College,Near,Female,64,1,252
20,74,Medium,Medium,1,7,59,Low,1,5,High,Medium,Public,Positive,4,0,High School,Near,Female,68,1,253
14,60,Medium,Low,1,7,89,Low,1,2,Medium,Medium,Public,Neutral,3,0,High School,Moderate,Male,60,1,254
18,78,High,Medium,1,7,71,Low,1,3,Medium,Medium,Public,Neutral,4,0,High School,Moderate,Male,67,1,255
16,74,High,High,1,6,68,Low,1,2,Medium,Medium,Public,Neutral,4,0,College,Near,Male,67,1,256
20,68,Medium,Medium,1,7,80,Low,1,0,Low,Medium,Private,Neutral,4,0,High School,Near,Female,63,1,257
18,67,High,Medium,0,6,51,Medium,1,0,Medium,High,Public,Positive,2,0,College,Near,Female,64,1,258
21,66,Medium,Medium,0,9,62,Low,0,3,Medium,Medium,Private,Positive,2,0,High School,Near,Male,63,1,259
19,86,Medium,Low,0,6,54,Low,1,1,High,High,Private,Positive,5,0,Postgraduate,Near,Male,68,1,260
13,60,Medium,Medium,1,7,66,Medium,1,2,Low,Medium,Public,Positive,3,0,Postgraduate,Near,Male,62,1,261
9,61,High,Medium,1,6,77,Low,0,1,High,Medium,Private,Neutral,2,0,High School,Near,Male,82,1,262
17,71,Low,High,1,6,78,Low,1,0,Medium,Medium,Public,Positive,4,0,College,Near,Female,64,1,263
4,88,Medium,High,0,6,87,Low,1,1,Medium,High,Public,Neutral,4,0,College,Near,Male,66,1,264
22,72,Low,Medium,0,6,70,Low,1,1,High,Medium,Public,Neutral,3,0,Postgraduate,Far,Male,64,1,265
20,74,High,High,0,7,69,Low,1,2,High,High,Private,Neutral,2,0,College,Near,Male,68,1,266
17,68,Medium,High,1,5,66,Medium,1,1,High,Medium,Public,Negative,4,0,High School,Near,Male,64,1,267
17,74,Medium,Medium,0,9,56,Medium,1,1,Medium,High,Private,Negative,3,0,High School,Moderate,Male,63,1,268
12,64,Medium,Medium,0,9,51,Low,0,2,Low,Medium,Public,Neutral,4,0,College,Near,Male,59,1,269
14,68,Medium,High,0,7,76,Medium,1,2,High,Medium,Public,Positive,3,0,High School,Near,Male,65,1,270
16,61,Medium,Low,1,6,81,Medium,1,0,Medium,Medium,Public,Negative,2,0,College,Near,Male,60,1,271
14,70,Medium,Medium,1,9,88,Low,1,0,High,Medium,Private,Positive,4,0,College,Moderate,Female,64,1,272
24,71,Medium,High,1,7,55,Low,1,2,High,Medium,Public,Positive,3,0,College,Far,Male,67,1,273
23,65,Medium,High,1,7,58,Low,1,1,Low,Medium,Public,Neutral,3,1,College,Moderate,Female,63,1,274
18,70,Medium,Medium,1,8,51,Medium,1,1,Low,Medium,Private,Negative,3,0,College,Moderate,Male,62,1,275
15,91,Medium,Medium,0,6,72,Low,1,0,Medium,Medium,Public,Neutral,2,0,High School,Moderate,Female,65,1,276
19,75,Medium,Medium,0,7,65,Low,1,0,Low,Low,Private,Neutral,4,0,High School,Near,Female,63,1,277
18,74,Low,Medium,1,7,67,Low,1,0,Low,Medium,Public,Positive,3,0,High School,Near,Male,63,1,278
16,61,High,High,0,8,64,Medium,1,1,Low,High,Public,Positive,3,0,High School,Far,Male,62,1,279
9,76,Medium,Medium,0,7,79,Medium,1,1,Medium,Medium,Public,Negative,3,0,College,Near,Male,63,1,280
22,75,High,High,1,9,66,Low,1,0,Low,Medium,Private,Neutral,2,0,Postgraduate,Near,Male,67,1,281
19,62,High,Medium,1,6,79,Low,1,7,Medium,Medium,Public,Neutral,2,0,High School,Near,Female,66,1,282
15,83,Medium,Medium,1,7,57,Low,1,0,Medium,Medium,Private,Positive,3,0,Postgraduate,Near,Male,65,1,283
13,73,Medium,Medium,1,7,51,Medium,1,1,Low,Medium,Public,Positive,4,0,Postgraduate,Near,Male,63,1,284
19,77,High,Medium,1,6,54,Low,1,3,High,Medium,Private,Negative,2,0,College,Moderate,Male,66,1,285
17,67,High,Medium,1,10,51,Medium,1,3,Low,Medium,Public,Positive,5,0,High School,Near,Male,65,1,286
18,81,Medium,Low,1,10,55,Low,1,3,Low,Medium,Public,Negative,2,0,High School,Near,Male,64,1,287
18,68,Medium,High,1,8,83,Low,1,1,Low,Medium,Public,Positive,2,0,College,Near,Male,65,1,288
21,84,Medium,Low,0,9,53,Low,1,2,Medium,High,Public,Negative,3,0,High School,Moderate,Female,65,1,289
11,62,Medium,High,1,4,68,Medium,1,2,High,Medium,Public,Negative,3,0,High School,Moderate,Male,61,1,290
17,77,Medium,Medium,0,7,54,Low,1,1,Low,High,Public,Positive,2,0,College,Near,Male,64,1,291
17,75,High,Medium,1,8,81,Low,1,3,High,Medium,Public,Neutral,3,1,Postgraduate,Near,Male,67,1,292
17,64,Low,High,0,7,69,Medium,1,1,Medium,Medium,Public,Negative,3,0,High School,Near,Female,62,1,293
16,66,Low,Medium,1,9,52,Medium,1,1,Medium,Low,Public,Negative,3,1,High School,Near,Male,59,1,294
19,76,High,High,0,4,72,Low,1,2,High,Medium,Public,Neutral,2,0,College,Moderate,Female,68,1,295
14,67,Medium,Medium,0,10,53,Medium,1,2,High,Medium,Public,Neutral,3,0,College,Near,Male,62,1,296
19,64,Low,Medium,0,8,62,Medium,1,0,High,Medium,Public,Positive,4,1,College,Near,Male,61,1,297
17,61,Medium,High,1,7,58,Low,1,2,Low,Medium,Public,Positive,3,1,High School,Near,Female,61,1,298
10,64,Medium,High,0,8,96,Medium,1,1,Medium,Medium,Public,Neutral,3,0,High School,Moderate,Male,62,1,299
13,93,Medium,Medium,1,5,52,Low,1,2,Medium,Medium,Public,Positive,3,0,College,Near,Female,67,1,300
3,96,High,High,1,9,59,Medium,1,2,Low,Medium,Public,Negative,3,0,College,Moderate,Female,66,1,301
17,60,High,Medium,1,9,86,Medium,1,0,Low,High,Public,Positive,2,0,High School,Near,Male,63,1,302
16,72,Medium,High,0,6,58,Low,1,1,Medium,Medium,Public,Negative,2,0,High School,Far,Male,62,1,303
23,64,High,Medium,1,5,80,Low,1,3,Medium,High,Public,Negative,2,1,College,Moderate,Female,65,1,304
15,71,High,High,1,6,69,Low,1,2,Low,High,Private,Negative,4,0,College,Near,Female,65,1,305
5,75,Medium,Low,1,10,84,Medium,1,0,High,Medium,Private,Neutral,4,0,Postgraduate,Moderate,Female,62,1,306
17,69,Medium,Medium,1,7,70,Low,1,0,Low,High,Public,Neutral,3,1,College,Moderate,Male,61,1,307
12,83,Low,Medium,1,7,86,Low,1,1,High,Medium,Public,Negative,4,0,College,Near,Female,65,1,308
15,65,High,Medium,0,5,93,Low,1,2,Low,Medium,Public,Neutral,4,1,High School,Near,Female,63,1,309
21,63,Medium,Medium,0,10,70,Low,1,1,High,High,Private,Positive,2,0,College,Near,Female,64,1,310
2,84,Low,High,0,8,54,Low,1,3,Low,Low,Public,Positive,4,0,High School,Near,Male,62,1,311
23,72,Medium,Medium,1,6,69,Low,1,2,High,Medium,Public,Positive,4,0,High School,Near,Male,67,1,312
20,61,Low,Low,1,6,63,Medium,1,1,Medium,High,Public,Positive,4,0,College,Far,Male,61,1,313
19,78,Medium,Low,1,5,56,Low,1,3,High,Medium,Public,Neutral,4,0,College,Moderate,Female,65,1,314
17,65,Medium,Medium,0,5,62,Medium,1,2,Medium,Medium,Public,Positive,4,0,High School,Near,Female,63,1,315
11,73,Medium,High,1,9,79,Medium,1,1,Low,High,Public,Neutral,2,0,High School,Near,Male,64,1,316
26,60,Low,High,1,6,54,Low,1,1,Low,Medium,Private,Positive,1,0,Postgraduate,Moderate,Male,63,1,317
20,60,Medium,Medium,1,4,80,Low,1,2,High,Medium,Private,Positive,3,1,College,Moderate,Male,63,1,318
23,74,Medium,Low,1,8,66,Low,1,0,High,Medium,Public,Negative,4,0,Postgraduate,Near,Female,65,1,319
18,85,Low,Medium,0,7,56,Low,1,0,Low,Medium,Private,Positive,4,0,High School,Moderate,Male,64,1,320
28,60,Medium,High,1,7,53,Low,1,3,Low,Medium,Private,Neutral,3,0,High School,Near,Female,65,1,321
19,78,Medium,Medium,0,7,55,Low,1,0,Medium,Medium,Public,Positive,3,0,College,Near,Male,65,1,322
16,76,Medium,Medium,1,7,95,Low,1,2,Medium,Medium,Public,Negative,3,0,High School,Near,Female,66,1,323
14,78,High,High,1,8,80,Low,1,1,Medium,Medium,Public,Neutral,1,0,High School,Near,Female,66,1,324
30,66,Medium,High,0,6,53,Low,0,2,Low,Medium,Public,Positive,2,0,High School,Near,Male,65,1,325
21,61,Medium,Medium,0,4,90,Low,1,2,Medium,Low,Public,Neutral,3,0,High School,Near,Male,63,1,326
19,70,Medium,Low,1,9,86,Low,1,2,High,Medium,Public,Neutral,2,1,High School,Near,Male,63,1,327
14,67,Medium,Low,0,4,71,Medium,1,0,High,Medium,Public,Neutral,4,0,College,Near,Female,62,1,328
17,67,Medium,High,1,5,54,Medium,1,0,Low,Medium,Public,Negative,2,0,High School,Moderate,Male,61,1,329
18,61,High,Low,1,5,71,Low,1,3,High,High,Private,Neutral,3,0,College,Near,Male,64,1,330
14,64,Medium,High,0,8,62,Low,1,1,Medium,High,Public,Positive,4,1,High School,Moderate,Male,61,1,331
17,64,High,Low,1,7,74,Low,1,2,Medium,Low,Public,Positive,2,0,Postgraduate,Near,Female,64,1,332
22,64,Medium,High,0,6,52,Low,1,2,High,Medium,Private,Negative,4,0,College,Moderate,Female,64,1,333
19,61,Medium,Medium,0,7,74,Low,1,2,High,Medium,Public,Negative,3,0,Postgraduate,Far,Male,62,1,334
18,70,High,Medium,1,5,81,Low,1,2,Low,Medium,Private,Negative,2,0,High School,Far,Female,63,1,335
14,62,Medium,Medium,1,6,78,Medium,1,0,High,Medium,Public,Positive,2,0,College,Near,Female,63,1,336
21,61,Low,Medium,0,7,58,Medium,1,1,Medium,Low,Public,Negative,3,0,High School,Near,Female,60,1,337
4,61,Low,High,1,7,71,High,1,0,Low,Low,Public,Positive,1,0,Postgraduate,Near,Male,58,1,338
9,76,Medium,Medium,1,7,79,Medium,1,1,Low,Medium,Public,Neutral,3,0,High School,Near,Female,62,1,339
24,70,Medium,High,0,8,59,Low,1,2,Low,High,Public,Positive,5,0,High School,Near,Male,67,1,340
15,77,Low,Medium,1,7,95,Low,1,4,Low,Medium,Public,Positive,4,0,High School,Moderate,Male,65,1,341
21,76,Low,Medium,0,6,50,Low,1,2,Low,Medium,Public,Negative,4,0,Postgraduate,Moderate,Female,63,1,342
12,65,Medium,Medium,0,8,57,Medium,1,1,High,High,Private,Positive,5,1,High School,Near,Female,61,1,343
16,77,Low,High,1,6,76,Low,1,1,Low,Medium,Public,Neutral,1,0,Postgraduate,Moderate,Female,64,1,344
12,81,High,High,1,5,82,Low,1,1,Medium,High,Public,Positive,3,0,High School,Far,Female,66,1,345
20,66,Low,Medium,1,8,54,Medium,1,2,Medium,Low,Public,Positive,2,0,Postgraduate,Near,Male,63,1,346
11,63,High,Medium,0,7,55,Low,1,3,High,Medium,Private,Positive,1,0,Postgraduate,Near,Male,62,1,347
15,77,Medium,Medium,1,8,57,Low,1,1,Low,Medium,Public,Neutral,2,0,College,Near,Male,63,1,348
9,87,Medium,Medium,0,8,56,Medium,1,1,Medium,High,Public,Positive,3,0,College,Moderate,Female,65,1,349
16,61,High,Medium,1,6,53,Low,1,0,High,Medium,Public,Positive,4,1,High School,Moderate,Female,60,1,350
11,68,Medium,Medium,0,6,91,Low,1,3,Low,High,Public,Negative,2,0,College,Far,Female,61,1,351
21,67,Medium,High,0,7,52,Medium,1,3,Low,Medium,Public,Negative,3,1,High School,Moderate,Female,62,1,352
16,67,Medium,Medium,0,7,95,Low,1,2,Medium,Medium,Public,Neutral,5,1,High School,Near,Male,63,1,353
19,61,Low,High,1,8,83,Low,1,1,Medium,Medium,Private,Negative,3,0,High School,Near,Male,62,1,354
14,85,Medium,Medium,1,8,54,Low,1,1,High,Medium,Private,Negative,4,0,Postgraduate,Moderate,Male,65,1,355
20,73,High,High,1,8,74,Low,1,1,Low,Low,Private,Negative,4,0,High School,Moderate,Male,65,1,356
19,65,Medium,High,1,7,68,Low,1,1,Low,Low,Public,Neutral,4,0,College,Near,Female,63,1,357
20,64,Medium,Low,1,8,53,Low,1,1,Low,Medium,Public,Positive,2,0,High School,Near,Male,61,1,358
16,61,Medium,High,1,6,85,Medium,1,2,Medium,Medium,Private,Positive,3,0,High School,Near,Male,64,1,359
9,73,Medium,Low,1,7,95,Medium,0,3,Low,Medium,Private,Negative,3,0,Postgraduate,Near,Male,62,1,360
14,83,High,Medium,1,7,95,Low,1,1,Low,Medium,Private,Neutral,2,1,High School,Near,Female,65,1,361
10,60,Medium,Medium,0,7,72,Low,0,3,Medium,Low,Public,Positive,3,0,High School,Near,Male,59,1,362
18,63,High,High,0,8,62,Medium,1,2,High,Medium,Public,Positive,4,0,High School,Near,Female,65,1,363
17,79,Medium,Medium,1,7,80,Low,1,1,High,High,Public,Positive,3,0,College,Near,Female,67,1,364
10,72,Medium,Low,0,7,89,Medium,1,3,Medium,Medium,Public,Negative,4,0,College,Near,Female,63,1,365
17,74,Medium,Medium,1,8,58,Low,1,1,High,Medium,Public,Neutral,2,0,College,Far,Male,63,1,366
18,64,Low,Low,1,7,97,Low,1,2,Medium,Low,Private,Neutral,4,0,College,Near,Male,62,1,367
18,60,Medium,Medium,1,5,69,Medium,1,0,Medium,Medium,Public,Neutral,2,0,Postgraduate,Near,Female,62,1,368
13,62,Low,Medium,1,6,90,Medium,0,3,High,High,Private,Neutral,3,1,Postgraduate,Near,Female,62,1,369
24,65,Low,High,0,6,79,Low,1,1,Medium,High,Public,Neutral,2,0,Postgraduate,Near,Male,66,1,370
9,70,High,Medium,0,5,81,Medium,1,1,High,High,Private,Neutral,4,0,Postgraduate,Near,Female,65,1,371
5,79,High,High,1,9,89,Low,1,3,Medium,Medium,Private,Neutral,3,0,College,Near,Female,66,1,372
19,61,High,Medium,0,9,67,Medium,1,0,Low,Medium,Public,Negative,2,0,College,Far,Female,61,1,373
22,70,Medium,High,1,8,74,Low,1,2,Low,High,Public,Negative,2,0,High School,Moderate,Male,65,1,374
9,65,Medium,High,1,9,67,Medium,1,1,High,Medium,Public,Neutral,3,0,High School,Near,Female,62,1,375
15,66,Low,High,1,7,75,Low,1,0,High,High,Public,Negative,3,0,College,Near,Male,62,1,376
7,80,High,Medium,0,9,83,Low,0,3,Medium,Medium,Public,Neutral,3,0,High School,Far,Female,62,1,377
19,64,Medium,Medium,1,9,56,Low,1,2,Low,Medium,Public,Positive,4,0,Postgraduate,Far,Female,63,1,378
20,60,Medium,Medium,1,8,67,Low,1,1,Medium,Medium,Public,Neutral,4,0,Postgraduate,Moderate,Female,63,1,379
18,75,Low,Medium,1,7,59,Low,1,0,Medium,Medium,Public,Positive,2,1,High School,Near,Female,62,1,380
16,80,High,Low,0,9,58,Low,1,0,Medium,Medium,Public,Neutral,2,0,High School,Near,Female,63,1,381
20,65,High,Medium,0,7,58,Medium,0,3,Low,Medium,Private,Neutral,4,0,High School,Near,Male,63,1,382
9,62,Low,High,1,5,58,Low,1,0,Medium,High,Private,Positive,5,0,College,Moderate,Female,59,1,383
20,80,Low,Low,0,6,77,Low,1,0,Medium,High,Private,Negative,3,0,High School,Near,Male,64,1,384
10,67,Medium,Medium,0,4,65,Medium,0,3,Medium,Medium,Public,Positive,3,0,High School,Near,Male,61,1,385
15,71,High,High,0,8,60,Medium,1,0,Low,High,Private,Negative,3,0,High School,Far,Female,62,1,386
15,66,Low,Medium,0,7,53,Medium,1,2,Medium,High,Public,Negative,3,0,College,Near,Female,61,1,387
13,66,High,Medium,1,6,71,Medium,1,3,Medium,Medium,Public,Neutral,3,0,High School,Near,Male,64,1,388
17,82,High,Low,0,9,56,Low,1,3,High,Medium,Public,Positive,2,0,High School,Near,Female,66,1,389
9,94,Medium,Medium,1,6,81,Low,1,0,Low,High,Public,Positive,3,0,High School,Near,Male,66,1,390
18,63,Medium,Low,0,7,52,Medium,1,2,High,High,Public,Positive,3,0,Postgraduate,Moderate,Female,63,1,391
18,78,High,High,1,6,61,Low,1,1,Low,Medium,Private,Positive,5,0,High School,Near,Male,67,1,392
12,71,Medium,Medium,1,8,65,Medium,1,1,Medium,High,Private,Neutral,2,0,High School,Moderate,Male,62,1,393
17,76,Medium,Low,0,7,81,Low,1,4,High,Medium,Private,Neutral,2,0,High School,Near,Male,65,1,394
17,78,Medium,Medium,1,9,65,Low,1,1,Medium,High,Public,Neutral,4,0,High School,Moderate,Female,65,1,395
5,70,High,High,1,8,55,Medium,1,3,Low,Medium,Public,Neutral,3,0,High School,Near,Male,62,1,396
16,66,Medium,Medium,1,8,50,Low,1,1,Medium,High,Public,Neutral,4,0,High School,Moderate,Male,62,1,397
6,65,High,High,0,6,62,Medium,0,3,Low,Low,Public,Neutral,1,0,High School,Near,Male,59,1,398
13,77,Medium,High,1,7,63,Low,1,0,High,Low,Public,Positive,1,0,High School,Moderate,Male,63,1,399
17,72,High,High,1,7,61,Low,1,1,Medium,Medium,Public,Negative,4,0,High School,Near,Female,65,1,400
19,62,Medium,Medium,0,7,91,Low,1,1,Low,Medium,Public,Positive,3,0,College,Near,Male,63,1,401
17,79,Medium,Medium,0,7,67,Low,1,1,Low,Medium,Private,Positive,3,0,High School,Near,Female,64,1,402
11,85,Medium,Medium,1,8,92,Low,1,2,Medium,Medium,Public,Negative,4,0,High School,Far,Female,65,1,403
15,60,Low,High,0,7,91,Low,1,0,Low,Medium,Private,Negative,2,0,College,Far,Male,59,1,404
15,69,Medium,Medium,1,8,53,Low,0,0,High,Medium,Private,Negative,3,0,High School,Near,Male,60,1,405
27,66,Low,High,0,6,67,Low,1,1,High,High,Public,Negative,4,0,College,Far,Female,65,1,406
17,61,High,Medium,0,7,63,Low,1,1,Medium,Medium,Public,Positive,4,0,College,Moderate,Female,62,1,407
19,61,Medium,Low,0,9,62,Medium,1,2,Medium,Medium,Public,Neutral,2,0,High School,Far,Female,60,1,408
17,77,Medium,Medium,1,6,67,Low,1,1,Low,Medium,Public,Positive,1,0,College,Near,Male,64,1,409
14,81,Low,Medium,0,8,71,Low,1,1,Low,High,Public,Neutral,3,1,Postgraduate,Near,Female,63,1,410
18,77,Medium,Medium,1,7,62,Low,1,2,High,Medium,Private,Neutral,4,0,College,Near,Male,66,1,411
21,62,Medium,Medium,0,7,94,Low,1,1,Low,High,Private,Positive,3,0,College,Moderate,Female,64,1,412
10,73,Low,High,1,8,72,Low,1,1,Low,High,Public,Positive,2,0,College,Moderate,Female,62,1,413
16,76,Low,Medium,0,6,66,Low,1,1,Medium,Medium,Private,Neutral,3,0,Postgraduate,Near,Female,64,1,414
13,77,Medium,Medium,1,8,68,Low,1,3,High,Medium,Private,Neutral,3,0,High School,Near,Female,65,1,415
15,64,High,Medium,0,7,59,Low,1,0,Low,Medium,Public,Neutral,3,1,High School,Near,Female,59,1,416
19,72,Low,High,1,5,96,Low,0,3,Low,Low,Public,Positive,2,0,High School,Moderate,Female,64,1,417
15,62,Medium,High,0,8,70,Medium,1,1,Low,Medium,Private,Positive,3,0,College,Near,Male,62,1,418
16,73,Medium,Medium,1,4,61,Low,1,4,Low,High,Private,Neutral,5,0,High School,Moderate,Male,64,1,419
19,85,High,Medium,0,7,59,Low,1,0,Medium,High,Private,Negative,4,0,College,Moderate,Male,67,1,420
12,70,Low,High,1,9,53,Medium,1,2,Low,Medium,Public,Neutral,2,1,High School,Near,Male,60,1,421
17,76,Medium,High,1,6,70,Low,1,2,High,Medium,Public,Neutral,4,0,Postgraduate,Moderate,Male,67,1,422
9,65,Medium,Medium,0,4,88,Low,1,1,Low,Medium,Public,Positive,3,0,College,Near,Male,61,1,423
8,85,Medium,Low,1,9,54,Low,1,1,Low,High,Private,Positive,3,0,High School,Near,Male,62,1,424
12,90,High,High,1,6,75,Low,0,2,Medium,Medium,Public,Neutral,3,0,Postgraduate,Near,Male,69,1,425
11,79,Medium,Medium,0,8,71,Low,1,1,Medium,Medium,Private,Positive,2,0,College,Moderate,Female,63,1,426
12,69,High,Medium,1,7,92,Low,1,1,Medium,Medium,Public,Neutral,3,0,College,Near,Female,64,1,427
4,100,High,Low,0,8,71,Low,1,2,Low,Medium,Private,Negative,4,0,High School,Moderate,Female,64,1,428
9,77,Medium,Medium,0,7,57,Low,1,2,Medium,Low,Public,Negative,3,0,High School,Near,Male,61,1,429
17,62,High,Low,1,6,54,Low,1,2,Medium,High,Public,Neutral,3,0,College,Near,Male,62,1,430
13,66,High,Medium,1,6,90,Medium,1,2,Low,Medium,Public,Positive,3,1,High School,Moderate,Male,63,1,431
24,60,Medium,Medium,0,6,85,Low,1,1,High,Medium,Public,Neutral,2,0,Postgraduate,Moderate,Male,64,1,432
16,69,Medium,High,1,6,55,Medium,1,1,Medium,High,Public,Negative,1,0,High School,Moderate,Male,62,1,433
17,61,Medium,High,0,7,72,Low,1,1,Medium,High,Public,Neutral,2,0,High School,Moderate,Male,62,1,434
15,89,High,Low,1,7,58,Low,1,2,Low,Medium,Public,Negative,3,0,High School,Moderate,Male,65,1,435
15,78,Low,Medium,1,8,100,Low,1,0,Low,Medium,Public,Negative,3,1,High School,Near,Female,62,1,436
11,70,Medium,Low,1,7,66,Low,1,1,Medium,High,Public,Negative,3,0,High School,Near,Female,60,1,437
14,63,Medium,Medium,0,8,81,Low,1,0,Medium,Low,Private,Positive,5,0,High School,Near,Female,61,1,438
18,67,Medium,High,1,7,78,Low,1,2,Medium,Medium,Public,Negative,3,1,High School,Near,Female,63,1,439
17,86,Low,Medium,0,6,62,Low,1,2,Medium,High,Public,Positive,4,0,High School,Near,Female,66,1,440
13,65,High,Medium,0,7,74,Low,1,0,High,Medium,Public,Neutral,2,1,High School,Moderate,Male,60,1,441
24,62,Low,High,0,9,70,Low,1,2,Low,Medium,Public,Positive,2,0,College,Moderate,Female,63,1,442
11,80,Medium,Medium,1,6,96,Low,1,1,Low,High,Public,Neutral,3,0,High School,Near,Male,65,1,443
20,67,High,High,0,6,59,Low,1,1,Medium,Medium,Private,Negative,4,0,College,Near,Female,65,1,444
16,85,Medium,Low,0,10,79,Low,1,1,High,Medium,Private,Neutral,3,0,College,Near,Male,66,1,445
17,84,Low,Medium,1,7,78,Low,1,0,High,High,Public,Neutral,5,1,College,Moderate,Female,65,1,446
7,75,Medium,High,1,7,76,Medium,1,0,Medium,Low,Private,Positive,4,0,College,Moderate,Female,63,1,447
12,81,Medium,High,0,10,97,Low,1,1,Low,Medium,Private,Positive,5,0,High School,Near,Female,66,1,448
9,78,High,Medium,1,7,100,Low,1,2,Medium,Medium,Public,Positive,2,0,High School,Near,Male,66,1,449
22,61,High,Medium,0,5,63,Low,1,1,Low,Medium,Public,Positive,3,0,Postgraduate,Near,Male,64,1,450
14,77,High,High,0,4,51,Low,1,5,Low,Medium,Public,Positive,3,0,College,Moderate,Male,66,1,451
11,82,Low,Low,0,6,61,Low,1,2,Medium,Medium,Public,Neutral,2,0,High School,Near,Female,61,1,452
10,90,High,Medium,1,7,80,Low,1,0,Medium,Medium,Public,Neutral,5,0,High School,Near,Female,67,1,453
13,74,High,High,1,5,88,Low,1,3,Low,Medium,Private,Neutral,3,1,College,Near,Female,66,1,454
12,74,High,Low,1,8,66,Low,1,1,Low,Medium,Public,Positive,2,0,High School,Near,Male,62,1,455
14,79,Medium,Medium,1,8,51,Medium,1,0,Medium,High,Public,Negative,4,0,High School,Near,Male,64,1,456
15,60,Medium,Medium,1,7,81,Low,1,4,Low,High,Public,Positive,2,0,High School,Near,Male,63,1,457
19,72,High,Medium,1,5,52,Low,1,1,Low,Medium,Public,Positive,2,0,High School,Near,Male,64,1,458
9,98,High,Medium,0,9,55,Low,1,3,Low,Medium,Public,Positive,2,0,High School,Near,Male,67,1,459
14,60,Medium,Medium,1,7,91,Medium,1,1,Low,High,Private,Negative,3,0,Postgraduate,Near,Male,63,1,460
12,76,Medium,Low,1,4,51,Medium,1,0,Low,Medium,Private,Neutral,1,0,High School,Near,Female,60,1,461
13,64,Medium,High,1,9,83,Low,1,1,High,Medium,Public,Positive,4,0,High School,Near,Male,64,1,462
13,63,Low,Medium,0,8,88,Medium,1,0,Low,Medium,Private,Negative,2,0,High School,Near,Male,59,1,463
22,64,Medium,High,0,6,66,Low,1,1,Medium,Medium,Public,Neutral,4,0,College,Near,Male,64,1,464
19,65,Medium,High,1,8,54,Medium,1,0,Low,High,Private,Neutral,3,0,High School,Far,Female,62,1,465
11,88,High,High,1,7,61,Low,1,2,Medium,Medium,Public,Neutral,3,0,Postgraduate,Near,Male,68,1,466
18,77,High,Medium,1,9,57,Low,1,1,Low,High,Public,Negative,2,0,Postgraduate,Near,Male,66,1,467
14,62,Medium,High,1,7,63,Medium,1,2,Low,Medium,Public,Positive,2,0,College,Moderate,Female,62,1,468
13,92,Medium,High,1,7,70,Low,1,4,Low,Medium,Public,Neutral,3,0,High School,Near,Male,68,1,469
20,65,Medium,High,1,8,50,Medium,1,0,Low,Medium,Public,Positive,5,0,High School,Near,Male,64,1,470
15,64,Medium,Medium,1,8,82,Low,1,0,Low,Medium,Public,Negative,3,0,High School,Near,Male,61,1,471
20,82,Low,Low,1,7,52,Low,1,0,Medium,Medium,Private,Neutral,3,0,College,Near,Female,64,1,472
16,63,High,High,0,9,70,Low,1,2,Medium,High,Private,Negative,5,0,College,Moderate,Female,64,1,473
12,81,High,Medium,0,8,53,Low,1,1,Medium,High,Private,Positive,3,0,College,Near,Male,65,1,474
18,62,Medium,Medium,1,7,54,Medium,1,2,Medium,High,Private,Positive,3,0,Postgraduate,Moderate,Male,64,1,475
